Solvent,InChIKey,Volume,dD,dP,dH,δt
Acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,52.6,15.3,18,6.1,24.6
Acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,117.4,19.6,8.6,3.7,21.7
AcetylChloride,WETWJCDKMRHUPV-UHFFFAOYSA-N,71,15.8,10.6,3.9,19.4
Acrylonitrile,NLHHRLWOUZZQLW-UHFFFAOYSA-N,67.1,16.4,17.4,6.8,24.8
AllylAlcohol,XXROGKLTLUQVRX-UHFFFAOYSA-N,68.4,16.2,10.8,16.8,25.8
AmylAlcohol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,109,16,4.5,13.9,21.7
Anisole,RDOXTESZEPMUJZ-UHFFFAOYSA-N,119.1,17.8,4.1,6.8,19.4
Benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,101.5,19.4,7.4,5.3,21.5
Benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,89.4,18.4,0,2,18.6
BenzoicAcid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,100,18.2,7,9.8,21.9
Benzonitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,102.6,17.4,9,3.3,19.8
BenzylAlcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,103.6,18.4,6.3,13.7,23.7
BenzylBenzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,190.3,20,5.1,5.2,21.2849712238471
BenzylButylPhthalate,IRIAEXORFWYRCZ-UHFFFAOYSA-N,306,19,11.3,3.1,22.3
BenzylEther,MHDVGSVTJDSBDK-UHFFFAOYSA-N,192.7,17.4,3.7,7.4,19.2
Biphenyl,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,154.1,21.5,1,2,21.7
Bis2ChloroisopropylEther,BULHJTXRZFEUDQ-UHFFFAOYSA-N,146,19,8.2,5.1,21.3
Bromobenzene,QARVLSVVCXYDNA-UHFFFAOYSA-N,105.3,20.5,5.5,4.1,21.7
Bromochloromethane,JPOXNPPZZKNXOV-UHFFFAOYSA-N,65,17.4,5.7,3.5,18.6
Bromoethane,RDHPKYGYEGBMSE-UHFFFAOYSA-N,76.9,16.6,8,5.1,19
Bromoform,DIKBFYAXUHHXCS-UHFFFAOYSA-N,87.5,21.5,4.1,6.1,22.7
Bromotrifluoromethane,RJCQBQGAPKAMLL-UHFFFAOYSA-N,97,9.6,2.5,0,10
Butoxypropanol,IDQBJILTOGBZCR-UHFFFAOYSA-N,132,15.3,4.5,9.2,18.4114095060644
ButylAcetate,DKPFZGUDAPQIHT-UHFFFAOYSA-N,132.5,15.8,3.7,6.3,17.4
Butylamine,HQABUPZFAYXKJW-UHFFFAOYSA-N,99,16.2,4.5,8,18.6
ButylBenzoate,XSIFPSYPOVKYCO-UHFFFAOYSA-N,178.1,18.3,5.6,5.5,19.9123077517399
ButylLactate,MRABAEUHTLLEML-UHFFFAOYSA-N,149,15.8,6.5,10.2,19.8
ButylPropionate,BTMVHUNTONAYDX-UHFFFAOYSA-N,149.3,15.7,5.5,5.9,17.6507790196354
ButylStearate,ULBTUVJTXULMLP-UHFFFAOYSA-N,382,14.5,3.7,3.5,15.3
Butyraldehyde,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,88.5,14.7,5.3,7,17.2
ButyricAcid,FERIUCNNQQJTOY-UHFFFAOYSA-N,110,14.9,4.1,10.6,18.8
Butyronitrile,KVNRLNFWIYMESJ-UHFFFAOYSA-N,87,15.3,12.5,5.1,20.5
Caprolactone,PAPBSGBWRJIAAV-UHFFFAOYSA-N,110.8,19.7,15,7.4,25.8427939665973
CarbonDisulfide,QGJOPFRUJISHPQ-UHFFFAOYSA-N,60,20.5,0,0.6,20.5
CarbonTetrachloride,VZGDMQKNWNREIO-UHFFFAOYSA-N,97.1,17.8,0,0.6,17.8
Chlorobenzene,MVPPADPHJFYWMZ-UHFFFAOYSA-N,102.1,19,4.3,2,19.6
Chlorodifluoromethane,VOPWNXZWBYDODV-UHFFFAOYSA-N,72.9,12.3,6.3,5.7,14.9
Chloroform,HEDRZPFGACZZDS-UHFFFAOYSA-N,80.7,17.8,3.1,5.7,19
Chloromethane,NEHMKBQYUWJMIP-UHFFFAOYSA-N,55.4,15.3,6.1,3.9,17
Cyanol,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,91.5,19.4,5.1,10.2,22.5
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,108.9,16.8,0,0.2,16.8011904340139
Cyclohexanol,HPXRVTGHNJAIIH-UHFFFAOYSA-N,106,17.4,4.1,13.5,22.5
Cyclohexanone,JHIVVAPYMSGYDF-UHFFFAOYSA-N,104,17.8,6.3,5.1,19.6
Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,115.2,17.4,3.1,6.5,18.8
DibutylPhthalate,DOIRQSBPFJWKBE-UHFFFAOYSA-N,266,17.8,8.6,4.1,20.3
DibutylSebacate,PYGXAGIECVVIOZ-UHFFFAOYSA-N,339,13.9,4.5,4.1,16.2
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,75.4,15.8,3.1,5.7,17
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,92.3,12.3,2,0,12.5
Dichloromethane,YMWUJEATGCHHMB-UHFFFAOYSA-N,63.9,18.2,6.3,6.1,20.3
Diethylamine,HPNMFZURTQLUMO-UHFFFAOYSA-N,103.2,14.9,2.3,6.1,16.4
DiethylCarbonate,OIFBSDVPJOWBCH-UHFFFAOYSA-N,121,16.6,3.1,6.1,18
DiethyleneGlycolButylEther,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,170.6,16,7,10.6,20.5
DiethyleneGlycolDimethylEther,SBZXBUIDTXKZTM-UHFFFAOYSA-N,142,15.8,6.1,9.2,19.2
DiethyleneGlycolMethylEther,SBASXUCJHJRPEV-UHFFFAOYSA-N,118,16.2,7.8,12.7,21.9
DiethyleneGlycolMonoethylEther,XXJWXESWEXIICW-UHFFFAOYSA-N,130.9,16.2,9.2,12.3,22.3
Diethylenetriamine,RPNUMPOLZDHAAY-UHFFFAOYSA-N,108,16.8,13.3,14.3,25.8
DiethylEther,RTZKZFJDLAIYFH-UHFFFAOYSA-N,104.8,14.5,2.9,5.1,15.8
DiethylPhthalate,FLKPEMZONWLCSK-UHFFFAOYSA-N,198,17.6,9.6,4.5,20.5
DiethylSulfate,DENRZWYUOJLTMF-UHFFFAOYSA-N,131.5,15.8,14.7,7.2,22.7
DiethylSulfide,LJSQFQKUNVCTIA-UHFFFAOYSA-N,108.2,17,3.1,2,17.4
DiisopropylEther,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,141.8,15.1,3.2,3.2,15.7635655865036
DimethylPhthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,163,18.6,10.8,4.9,22.1
DimethylSulfone,HHVIBTZHLRERCL-UHFFFAOYSA-N,75,19,19.4,12.3,29.9
DimethylSulfoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,71.3,18.4,16.4,10.2,26.6
DiNOctylPhthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,277,16.6,7,3.1,18.2
Dipropylamine,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,136.9,15.3,1.4,4.1,16
DipropyleneGlycol,AZUXKVXMJOIAOF-UHFFFAOYSA-N,131.8,16.5,10.6,17.7,26.4177970315467
DiPropyleneGlycolButylEther,CUVLMZNMSPJDON-UHFFFAOYSA-N,211.2,15.7,6.5,10,19.7164905599348
DLLimonene,XMGQYMWWDOXHJM-UHFFFAOYSA-N,162.9,17.2,1.8,4.3,17.8204938203182
DowanolDpm,CUDYYMUUJHLCGZ-UHFFFAOYSA-N,156.1,15.5,5.7,11.2,19.9544481256686
Epichlorohydrin,BRLQWZUYTZBJKN-UHFFFAOYSA-N,79.9,19,10.2,3.7,21.9
Ethanethiol,DNJIEGIFACGWOD-UHFFFAOYSA-N,74.3,15.8,6.5,7.2,18.4
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,58.6,15.8,8.8,19.4,26.5224433263604
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,58.5,15.8,8.8,19.4,26.6
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,60.2,17.2,15.5,21.3,31.5
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,98.5,15.8,5.3,7.2,18.2
Ethylbenzene,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,123.1,17.8,0.6,1.4,17.8
EthylChloroformate,RIFGWPKJUGCATF-UHFFFAOYSA-N,95.6,15.5,10,6.8,19.6
EthylCinnamate,KBEBGUQPQBELIU-CMDGGOBGSA-N,166.8,18.4,8.2,4.1,20.5
EthyleneCarbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,66,19.4,21.7,5.1,29.5
Ethylenediamine,PIICEJLVQHRZGT-UHFFFAOYSA-N,67.3,16.6,8.8,17,25.4
EthyleneGlycol,LYCAIKOWRPUZTN-UHFFFAOYSA-N,55.9,17,11,26,32.9545141065682
EthyleneGlycolButylEther,POAOYUHQDCAZBD-UHFFFAOYSA-N,131.6,16,5.1,12.3,20.9
EthyleneGlycolMonophenylEther,QCDWFXQBSFUVSP-UHFFFAOYSA-N,124.7,17.8,5.7,14.3,23.5333805476391
EthylFormate,WBJINCZRORDGAQ-UHFFFAOYSA-N,80.2,15.5,8.4,8.4,19.6
EthylLactate,LZCLXQDLBQLTDK-BYPYZUCNSA-N,115,16,7.6,12.5,21.7
