old_name,InChIKey,Volume,dD,dP,dH,δt,Solvent,CHO
3-Hexanol,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,123.2,15.8,4.3,13.5,21.3,3-Hexanol,True
3-Hydroxypropionitrile,WSGYTJNNHPZFKR-UHFFFAOYSA-N,68.3,17.2,18.8,17.6,30.9,3-Hydroxypropanenitrile,False
3-Methyl-1-Butanol,PHTQWCKDNZKARW-UHFFFAOYSA-N,109.3,15.8,5.2,13.3,21.2971829123009,3-Methyl-1-butanol,True
3-Pentanone,FDPIMTJIUBPUKL-UHFFFAOYSA-N,106.4,15.8,7.6,4.7,18.2,3-Pentanone,True
4-Hydroxy-4-Methyl-2-Pentanone,SWXVUIWOUIDPGS-UHFFFAOYSA-N,124.2,15.8,8.2,10.8,20.9,4-Hydroxy-4-methyl-2-pentanone,True
"4-Hydroxymethyl-1,3-Dioxolan-2-One",JFMGYULNQJPJCY-UHFFFAOYSA-N,83.2,17.9,25.5,17.4,35.6850108589027,"4-(Hydroxymethyl)-1,3-dioxolan-2-one",True
4-Methyl-2-Pentanol,WVYWICLMDOOCFB-UHFFFAOYSA-N,127.2,15.3,3.3,12.3,19.8,4-Methyl-2-pentanol,True
4-Methyl-2-Pentanone,NTIZESTWPVYFNL-UHFFFAOYSA-N,125.8,15.3,6.1,4.1,17.0,4-Methyl-2-pentanone,True
4-Octanol,WOFPPJOZXUTRAU-UHFFFAOYSA-N,157.0,16.0,3.3,11.9,20.1,4-Octanol,True
5-Methyl-2-Hexanone,FFWSICBKRCICMR-UHFFFAOYSA-N,142.8,16.0,5.7,4.1,17.4,5-Methyl-2-hexanone,True
Acetaldehyde,IKHGUXGNUITLKF-UHFFFAOYSA-N,57.1,14.7,8.0,11.3,20.3,Acetaldehyde,True
Acetic Acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,57.1,14.5,8.0,13.5,21.3,Acetic acid,True
Acetic Anhydride,WFDIJRYMOXRFFG-UHFFFAOYSA-N,94.5,16.0,11.7,10.2,22.3,Acetic anhydride,True
Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,74.0,15.5,10.4,7.0,20.1,Acetone,True
Acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,52.6,15.3,18.0,6.1,24.6,Acetonitrile,False
Acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,117.4,19.6,8.6,3.7,21.7,Acetophenone,True
Acetyl Chloride,WETWJCDKMRHUPV-UHFFFAOYSA-N,71.0,15.8,10.6,3.9,19.4,Acetyl chloride,False
Acrylonitrile,NLHHRLWOUZZQLW-UHFFFAOYSA-N,67.1,16.4,17.4,6.8,24.8,Acrylonitrile,False
Allyl Alcohol,XXROGKLTLUQVRX-UHFFFAOYSA-N,68.4,16.2,10.8,16.8,25.8,Allyl alcohol,True
Amyl Alcohol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,109.0,16.0,4.5,13.9,21.7,Amyl alcohol,True
Anisole,RDOXTESZEPMUJZ-UHFFFAOYSA-N,119.1,17.8,4.1,6.8,19.4,Anisole,True
Benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,101.5,19.4,7.4,5.3,21.5,Benzaldehyde,True
Benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,89.4,18.4,0.0,2.0,18.6,Benzene,True
Benzoic Acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,100.0,18.2,7.0,9.8,21.9,Benzoic acid,True
Benzonitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,102.6,17.4,9.0,3.3,19.8,Benzonitrile,False
Benzyl Alcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,103.6,18.4,6.3,13.7,23.7,Benzyl alcohol,True
Benzyl Benzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,190.3,20.0,5.1,5.2,21.2849712238471,Benzyl benzoate,True
Benzyl Butyl Phthalate,IRIAEXORFWYRCZ-UHFFFAOYSA-N,306.0,19.0,11.3,3.1,22.3,Benzyl butyl phthalate,True
Benzyl Ether,MHDVGSVTJDSBDK-UHFFFAOYSA-N,192.7,17.4,3.7,7.4,19.2,Benzyl ether,True
Biphenyl,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,154.1,21.5,1.0,2.0,21.7,Biphenyl,True
Bis-2-Chloroisopropyl Ether,BULHJTXRZFEUDQ-UHFFFAOYSA-N,146.0,19.0,8.2,5.1,21.3,Bis(2-chloroisopropyl) ether,False
Bromobenzene,QARVLSVVCXYDNA-UHFFFAOYSA-N,105.3,20.5,5.5,4.1,21.7,Bromobenzene,False
Bromochloromethane,JPOXNPPZZKNXOV-UHFFFAOYSA-N,65.0,17.4,5.7,3.5,18.6,Bromochloromethane,False
Bromoethane,RDHPKYGYEGBMSE-UHFFFAOYSA-N,76.9,16.6,8.0,5.1,19.0,Bromoethane,False
Bromoform,DIKBFYAXUHHXCS-UHFFFAOYSA-N,87.5,21.5,4.1,6.1,22.7,Bromoform,False
Bromotrifluoromethane,RJCQBQGAPKAMLL-UHFFFAOYSA-N,97.0,9.6,2.5,0.0,10.0,Bromotrifluoromethane,False
Butoxypropanol,IDQBJILTOGBZCR-UHFFFAOYSA-N,132.0,15.3,4.5,9.2,18.4114095060644,Butoxypropanol,True
Butyl Acetate,DKPFZGUDAPQIHT-UHFFFAOYSA-N,132.5,15.8,3.7,6.3,17.4,Butyl acetate,True
Butylamine,HQABUPZFAYXKJW-UHFFFAOYSA-N,99.0,16.2,4.5,8.0,18.6,Butylamine,False
Butyl Benzoate,XSIFPSYPOVKYCO-UHFFFAOYSA-N,178.1,18.3,5.6,5.5,19.9123077517399,Butyl benzoate,True
Butyl Lactate,MRABAEUHTLLEML-UHFFFAOYSA-N,149.0,15.8,6.5,10.2,19.8,Butyl lactate,True
Butyl Propionate,BTMVHUNTONAYDX-UHFFFAOYSA-N,149.3,15.7,5.5,5.9,17.6507790196354,Butyl propionate,True
Butyl Stearate,ULBTUVJTXULMLP-UHFFFAOYSA-N,382.0,14.5,3.7,3.5,15.3,Butyl stearate,True
Butyraldehyde,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,88.5,14.7,5.3,7.0,17.2,Butyraldehyde,True
Butyric Acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,110.0,14.9,4.1,10.6,18.8,Butyric acid,True
Butyronitrile,KVNRLNFWIYMESJ-UHFFFAOYSA-N,87.0,15.3,12.5,5.1,20.5,Butyronitrile,False
Caprolactone,PAPBSGBWRJIAAV-UHFFFAOYSA-N,110.8,19.7,15.0,7.4,25.8427939665973,Caprolactone (Epsilon),True
Carbon Disulfide,QGJOPFRUJISHPQ-UHFFFAOYSA-N,60.0,20.5,0.0,0.6,20.5,Carbon Disulfide (0 Dipole Moment),False
Carbon Tetrachloride,VZGDMQKNWNREIO-UHFFFAOYSA-N,97.1,17.8,0.0,0.6,17.8,Carbon tetrachloride,False
Chlorobenzene,MVPPADPHJFYWMZ-UHFFFAOYSA-N,102.1,19.0,4.3,2.0,19.6,Chlorobenzene,False
Chlorodifluoromethane,VOPWNXZWBYDODV-UHFFFAOYSA-N,72.9,12.3,6.3,5.7,14.9,Chlorodifluoromethane,False
Chloroform,HEDRZPFGACZZDS-UHFFFAOYSA-N,80.7,17.8,3.1,5.7,19.0,Chloroform,False
Chloromethane,NEHMKBQYUWJMIP-UHFFFAOYSA-N,55.4,15.3,6.1,3.9,17.0,Chloromethane,False
Cyanol,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,91.5,19.4,5.1,10.2,22.5,Cyanol,False
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,108.9,16.8,0.0,0.2,16.8011904340139,Cyclohexane,True
Cyclohexanol,HPXRVTGHNJAIIH-UHFFFAOYSA-N,106.0,17.4,4.1,13.5,22.5,Cyclohexanol,True
Cyclohexanone,JHIVVAPYMSGYDF-UHFFFAOYSA-N,104.0,17.8,6.3,5.1,19.6,Cyclohexanone,True
