old_name,InChIKey,Volume,dD,dP,dH,δt,Solvent,CHO
Succinic Anhydride,RINCXYDBBGOEEQ-UHFFFAOYSA-N,66.8,18.6,19.2,16.6,31.5,Succinic anhydride,True
Sulfolane,HXJUTPCZVOIRIF-UHFFFAOYSA-N,95.3,18.0,18.0,9.9,27.3131836298883,Sulfolane (Tetramethylene Sulfone),False
Tert-Butanol,DKGAVHZHDRPRBM-UHFFFAOYSA-N,96.0,15.2,5.1,14.7,21.7517815362328,tert-Butanol,True
Tert-Butyl Acetate,WMOVHXAZOJBABW-UHFFFAOYSA-N,134.8,15.0,3.7,6.0,16.5737744644966,tert-Butyl acetate,True
Tetrachloroethylene,CYTYCFOTNPOANT-UHFFFAOYSA-N,101.1,19.0,6.5,2.9,20.3,Tetrachloroethylene,False
Tetrahydrofuran,WYURNTSHIVDZCO-UHFFFAOYSA-N,81.7,16.8,5.7,8.0,19.4,Tetrahydrofuran (THF),True
Tetrahydrofurfuryl Alcohol,BSYVTEYKTMYBMK-UHFFFAOYSA-N,97.4,17.8,8.2,12.9,23.4625233084594,Tetrahydrofurfuryl alcohol,True
Tetramethylurea,AVQQQNCBBIEMEU-UHFFFAOYSA-N,120.4,16.8,8.2,11.0,21.7,Tetramethylurea,True
Toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,106.8,18.0,1.4,2.0,18.2,Toluene,True
Tributyl Phosphate,STCOOQWBFONSKY-UHFFFAOYSA-N,345.0,16.4,6.3,4.3,18.0,Tributyl phosphate,False
Trichloroethylene,XSTXAVWGXDQKEL-UHFFFAOYSA-N,90.2,18.0,3.1,5.3,19.0,Trichloroethylene,False
Trichlorofluoromethane,CYRMSUTZVYGINF-UHFFFAOYSA-N,92.8,15.3,2.0,0.0,15.5,Trichlorofluoromethane,False
Tricresyl Phosphate,YACDDVCMSPGAQK-UHFFFAOYSA-N,613.0,19.0,12.3,4.5,23.1,Tricresyl phosphate,False
Triethyl Phosphate,DQWPFSLDHJDLRL-UHFFFAOYSA-N,171.0,16.8,11.5,9.2,22.3,Triethyl phosphate,False
Trifluoromethyl Undecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,196.0,12.5,0.0,0.0,12.5,Trifluoromethyl undecafluorocyclohexane,False
Trifluoromethyl Undecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,217.4,12.5,0.0,0.0,12.5,Trifluoromethyl undecafluorocyclohexane,False
Trimethyl Phosphate,WVLBCYQITXONBZ-UHFFFAOYSA-N,99.9,16.8,16.0,10.2,25.4,Trimethyl phosphate,False
Water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.0,15.5,16.0,42.4,47.9,Water,True
