No.,Formula,Solvent,Name (French),CAS,Hansen Set,Green Set,dD,dP,dH,CMR,I_low,T_b,CHO
167,C12H20O2,Geranyl acetate,Acétate de géranyle,105-87-3,X,,16.3,3.2,6.1,-,5,248,True
168,C12H22O4,Triethyl citrate,Citrate de triéthyle,77-93-0,,,16.5,4.9,12,-,5,294,True
169,C12H22O2,Dihydroterpinyl acetate,Acétate de dihydroterpényle,80-25-1,,,16.6,4,4.3,-,4,234,True
170,C12H22O4,Diisobutyl succinate,Succinate de diisobutyle,925-06-4,,,16.5,4,6.7,-,5,253,True
171,C12H25NO,"N,N-Dimethyldecanamide","N,N-Diméthyldécanamide",14433-76-2,,,16.6,7.4,8.7,-,4,260,False
172,C12H25NO3,"N,N-bis(2-hydroxyethyl)octanamide","N,N-bis(2-hydroxyléthyl)-octanamide",3077-30-3,X,,17,9.6,15.9,-,5,392,False
173,C12H24O4,Diisobutyl glutarate,Glutarate de diisobutyle,71195-64-7,,,16.4,4.3,6.8,-,5,267,True
174,C12H26O2,Methyl laurate,Laurate de méthyle,111-82-0,,,16.2,3.4,5.1,-,4,263,True
175,C14H12O2,Benzyl benzoate,Benzoate de benzyle,120-51-4,,,20,5.1,5.2,-,4,323,True
176,C14H26O4,Diisobutyl adipate,Adipate de diisobutyle,141-04-8,,,16.7,2.5,6.2,-,5,293,True
177,C14H28O2,Ethyl laurate,Laurate d'éthyle,106-33-2,,,16.2,3.4,5.3,-,5,278,True
178,C14H28O2,Butyl decanoate,Décanoate de butyle,30673-36-0,,,16.2,2.8,3.8,-,5,275,True
179,C14H29NO3,"N,N-bis(2-hydroxyethyl)decanamide","N,N-bis(2-hydroxyéthyl)-décanamide",136-26-5,,,16.8,9.1,15.2,-,5,418,False
180,C15H30O2,Methyl myristate,Myristate de méthyle,124-10-7,,,16.4,2.6,4.5,-,5,296,True
181,C15H30O2,Isopropyl laurate,Laurate d'isopropyle,10233-13-3,,,16,4.8,4.5,-,4,281,True
182,C15H32O3,"1,2,3-Tributoxypropane","1,2,3-Tributoxypropane",131570-29-1,,,15.7,3.8,3.2,-,5,321,True
183,C16H32O2,Ethyl myristate,Myristate d'éthyle,124-06-1,,,16.3,2.7,5,-,5,306,True
184,C16H32O2,Butyl laurate,Laurate de butyle,106-18-3,,,16.2,2.9,4,-,5,306,True
185,C16H34,n-Hexadecane,n-Hexadécane,544-76-3,,,16.3,0,0,-,5,287,True
186,C17H34O2,Methyl palmitate,Palmitate de méthyle,112-39-0,,,16.3,2.7,4.6,-,4,327,True
187,C17H34O2,Isopropyl myristate,Myristate d'isopropyle,110-27-0,,,16.2,2.3,3.8,-,6,320,True
188,C17H34O2,Isoamyl laurate,Laurate d'isoamyle,6309-51-9,,,16.1,2.8,4.5,-,5,312,True
189,C18H32O6,Tributyl citrate,Citrate de tributyle,77-94-1,,,16.6,3.8,10.1,-,5,390,True
190,C18H34O2,Oleic acid,Acide oléique,112-80-1,,,16,2.8,6.2,-,6,360,True
191,C18H34O3,Ricinoleic acid,Acide richoléique,141-22-0,,,15.9,4.6,12,-,5,416,True
192,C18H36O4,Dibutyl sebacate,Sébagate de dibutyle,109-43-3,,,16.7,4.5,4.1,-,5,349,True
193,C18H36O,Oleyl alcohol,Alcool oléylique,143-28-2,,,16.5,2.6,8,-,5,333,True
194,C18H36O2,Butyl myristate,Myristate de butyle,110-36-1,,,16.3,2.2,3.3,-,5,335,True
195,C18H36O2,Ethyl palmitate,Palmitate d'éthyle,628-97-7,,,16.3,2.7,5,-,5,335,True
196,C18H30O2,Methyl linolenate,Linolénate de méthyle,301-00-8,,,16.2,4,4.3,-,5,351,True
197,C18H32O2,Methyl linoleate,Linoléate de méthyle,112-63-0,,,16.2,3.3,4.1,-,5,349,True
198,C18H34O2,Methyl oleate,Oléate de méthyle,112-62-9,,,16.2,3.8,4.5,-,4,344,True
199,C18H34O3,Methyl ricinoleate,Richoléate de méthyle,141-24-2,,,16.3,5,8,-,5,170,True
200,C19H38O2,Methyl stearate,Stéarate de méthyle,112-61-8,,,16.5,2,4.1,-,5,350,True
201,C19H38O2,Isopropyl palmitate,Palmitate d'isopropyle,142-91-6,,,14.3,3.9,3.7,-,5,341,True
202,C20H34O2,Ethyl linolenate,Linolénate d'éthyle,1191-41-9,,,16.2,4,4.5,-,6,359,True
203,C20H34O6,Acetyl tributyl citrate,Citrate d'acétyl tributyle,77-90-7,,,16.7,2.5,7.4,-,6,418,True
204,C20H36O2,Ethyl linoleate,Linoléate d'éthyle,544-35-4,,,16.2,3.4,4.3,-,5,388,True
205,C20H38O2,Ethyl oleate,Oléate d'éthyle,111-62-6,,,14.5,3.8,3.7,-,5,360,True
206,C20H40O2,Ethyl stearate,Stéarate d'éthyle,111-61-5,,,16.4,2.1,4.8,-,5,356,True
207,C20H40O2,Butyl palmitate,Palmitate de butyle,111-06-8,,,16.3,2.3,3.5,-,5,362,True
208,C20H40O2,2-Ethylhexyl laurate,Laurate de 2-éthylhexyle,20292-08-4,,,16.1,3.3,5.4,-,4,355,True
209,C21H32O2,Methyl abietate,Abiétate de méthyle,127-25-3,,,17.5,3.3,4.2,-,5,404,True
210,C21H40O2,Isopropyl oleate,Oléate d'isopropyle,112-11-8,,,16.1,4.1,3.6,-,5,397,True
211,C21H42O2,Methyl eicosanoate,Eicosanoate de méthyle,1120-28-1,,,16.5,2.1,4.2,-,4,375,True
212,C22H34O2,Ethyl abietate,Abiétate d'éthyle,631-71-0,,,17.1,3.4,4.2,-,5,418,True
213,C22H38O6,Isosorbide dioctanoate,Dioctanoate d'isosorbide,64896-70-4,,,16.5,4.8,5.6,-,5,477,True
214,C22H42O2,Erucic acid,Acide érucique,112-86-7,(X),,16.3,3,5,-,6,417,True
215,C22H42O2,Butyl oleate,Oléate de butyle,142-77-8,,,16.3,3.7,4.2,-,5,415,True
216,C22H44O2,Butyl stearate,Stéarate de butyle,123-95-5,X,,14.5,3.7,3.5,-,6,350,True
217,C22H44O2,Ethyl eicosanoate,Eicosanoate d'éthyle,18281-05-5,,,16.4,2.2,4.8,-,5,369,True
218,C23H44O2,Methyl erucate,Erucate de méthyle,1120-34-9,,,16.3,2.6,3.9,-,5,423,True
219,C23H46O2,Methyl docosanoate,Docosanoate de méthyle,929-77-1,,,16.6,1.5,3.8,-,5,393,True
220,C24H46O2,Ethyl docos-13-enoate,Docos-13-énoate d'éthyle,37910-77-3,,,16.2,2.6,4.5,-,6,437,True
