No,old_name,Solvent,CAS,dD,dP,dH,Tb,CHO
270,3-Hydroxy Tetrahydrofuran,3-Hydroxytetrahydrofuran,453-20-3,18.9,9.4,16.3,,True
271,3-Methoxy Butanol,3-Methoxybutanol,2517-43-3,15.3,5.4,13.6,,True
272,3-Methoxy Butyl Acetate,3-Methoxybutyl acetate,4435-53-4,15.3,4.1,8.1,,True
273,3-Methoxy-3-Methyl Butanol,3-Methoxy-3-methylbutanol,56539-66-3,16,6.3,12.9,,True
274,3-Methoxypropionitrile,3-Methoxypropionitrile,110-67-8,16.6,14.4,7.8,,False
275,3-Methyl Allyl Alcohol,3-Methylallyl alcohol,504-61-0,16,6,15.5,,True
276,3-Methyl Cyclohexanol (Mix),3-Methylcyclohexanol (Mix),591-23-1,17.2,6.4,12.5,,True
277,3-Methyl Cyclohexanone,3-Methylcyclohexanone,591-24-2,17.7,7.7,4.7,,True
278,3-Methyl Isoxazole,3-Methylisoxazole,30842-90-1,19.4,14.8,11.8,,False
279,"3-Methyl-1,2-Butadiene","3-Methyl-1,2-butadiene",598-25-4,15.1,2.5,4.5,,False
280,3-Methyl-1-Butene,3-Methyl-1-butene,563-45-1,14,1.4,3.8,,False
281,3-Methyl-2-Butanol,3-Methyl-2-butanol,598-75-4,15.6,5.2,13.4,,True
282,3-Methyl-3-Methoxy Butyl Acetate,3-Methyl-3-methoxybutyl acetate,103429-90-9,15.3,3.8,7.7,,True
283,3-n-Butyl Toluene,3-n-Butyltoluene,1595-04-06,17.4,0.1,1,,False
284,3-Nitroaniline,3-Nitroaniline,1999-09-02,21.4,17.7,10.6,,False
285,"4,4'-Methylenebis(Phenylisocyanate)","4,4'-Methylenebis(phenyl isocyanate)",101-68-8,19.5,4.1,1.7,,False
286,4-(Trifluoromethyl) Acetophenone,4-(Trifluoromethyl)acetophenone,709-63-7,18.8,6.1,3.5,,False
287,4-Aminopyridine,4-Aminopyridine,504-24-5,20.4,16.1,12.9,,False
288,"4-Bromo-1,2-Butadiene","4-Bromo-1,2-butadiene",18668-68-3,17,6.5,4.7,,False
289,4-Bromo-1-Butene,4-Bromo-1-butene,5162-44-7,16.5,6,4.5,,False
290,"4-Chloro-1,2-Butadiene","4-Chloro-1,2-butadiene",25790-55-0,16.6,8,6.7,,False
291,4-Chloro-2-Nitrotoluene,4-Chloro-2-nitrotoluene,89-59-8,19.9,11.8,3.8,,False
292,4-Chloroanisole,4-Chloroanisole,0623-12-01,19.6,7.8,6.7,,False
293,4-Chlorobenzaldehyde,4-Chlorobenzaldehyde,104-88-1,19.9,7.2,5.6,,False
294,4-Chlorobenzonitrile,4-Chlorobenzonitrile,623-03-0,19.5,8,4.1,,False
295,4-Chlorobenzotrichloride,4-Chlorobenzotrichloride,5216-25-1,20.3,5.5,3.5,,False
296,4-Chlorobenzyl Alcohol,4-Chlorobenzyl alcohol,873-76-7,19.6,7.5,13,,False
297,4-Chlorothiophenol,4-Chlorothiophenol,106-54-7,20.8,8.6,10.6,,False
298,4-Ethoxy Acetophenone,4-Ethoxyacetophenone,1676-63-7,18.8,10.3,6.4,,True
299,4-Ethyl Morpholine,4-Ethylmorpholine,100-74-3,17.7,5,6.6,,False
300,4-Ethyl Phenol,4-Ethylphenol,0123-07-09,18.3,5.2,12.6,,True
301,"4-Ethyl-1,3-Dioxolane-2-One","4-Ethyl-1,3-dioxolan-2-one",4437-85-8,17.5,9.8,3,,True
302,4-Fluoro-3-Nitrobenzofluoride,4-Fluoro-3-nitrobenzotrifluoride,364-74-9,19.4,7.2,3.7,,False
303,4-Fluoropropiophenone,4-Fluoropropiophenone,582-83-2,19.6,7.1,3.5,,False
304,4-Hydroxy Benzaldehyde,4-Hydroxybenzaldehyde,123-08-0,19.4,15.2,14.5,,True
305,4-Hydroxycinnamic Acid,4-Hydroxycinnamic acid,7400-08-0,19.1,6.7,15.9,,True
306,"4-Iodo-1,2-Butadiene","4-Iodo-1,2-butadiene",29871-57-6,17.4,6.3,6.2,,False
307,4-Methoxy Acetophenone,4-Methoxyacetophenone,0100-06-01,18.9,11.2,7,,True
308,4-Methoxy Benzonitrile,4-Methoxybenzonitrile,874-90-8,19.4,16.7,5.4,,False
309,4-Methyl Cyclohexanol (Mix),4-Methylcyclohexanol (Mix),589-91-3,17.2,6.3,12.5,,True
310,4-Nitrophenol,4-Nitrophenol,0100-02-07,20,14.5,14.2,,False
311,4-Pentenal,4-Pentenal,2100-17-6,15.5,8.1,6.8,,True
312,4-Vinyl Pyridine,4-Vinylpyridine,100-43-6,18.1,7.2,6.8,,False
313,"5,6-Dihydroxyindole","5,6-Dihydroxyindole",3131-52-0,19.5,8.8,17.9,,False
314,"5,6-Dihydroxyindole-2-Carboxylic Acid","5,6-Dihydroxyindole-2-carboxylic acid",4790-08-03,19.5,8.1,17.7,,False
315,"5,6-Indolequinone","5,6-Indolequinone",,19.5,9.3,7.8,,False
316,"5,6-Indolequinone-2-Carboxylic Acid","5,6-Indolequinone-2-carboxylic acid",,19.5,8.3,10.6,,False
317,5-Bromo-2-Nitrobenzotrifluoride,5-Bromo-2-nitrobenzotrifluoride,344-38-7,20,6,4.9,,False
318,6-Chloro-2-Nitrotoluene,6-Chloro-2-nitrotoluene,83-42-1,20.3,9.6,3.8,,False
319,"9,10-Anthraquinone","9,10-Anthraquinone",84-65-1,20.3,7.6,4.8,,True
320,"9,10-Phenanthrenequinone","9,10-Phenanthrenequinone",1984-11-07,20.3,17.1,4.8,,True
321,a-Methyl Styrene,α-Methylstyrene,98-83-9,18.5,2.4,2.4,,False
322,Acetaldehyde,Acetaldehyde,75-07-0,14.7,12.5,7.9,,True
323,Acetaldoxime,Acetaldoxime,107-29-9,16.3,4,20.2,,True
324,Acetamide,Acetamide,60-35-5,17.3,18.7,19.3,,False
325,Acetanilide,Acetanilide,103-84-4,20.6,14.4,13.5,,False
326,Acetic Acid,Acetic acid,64-19-7,14.5,8,13.5,,True
327,Acetic Anhydride,Acetic anhydride,108-24-7,16,11.7,10.2,,True
328,Acetone,Acetone,67-64-1,15.5,10.4,7,,True
329,Acetonecyanhydrin,Acetone cyanohydrin,75-86-5,16.6,12.2,15.5,,False
330,Acetonemethyloxime,Acetone methyloxime,3376-35-0,14.7,4.6,4.6,,True
331,Acetonitrile,Acetonitrile,1975-05-08,15.3,18,6.1,,False
332,Acetophenone,Acetophenone,98-86-2,18.8,9,4,,True
333,Acetoxime,Acetoxime,127-06-0,16.3,3.7,10.9,,True
334,Acetyl Salicylic Acid,Acetylsalicylic acid,50-78-2,19,6.9,9.7,,True
335,Acetyl Triethyl Citrate,Acetyl triethyl citrate,77-89-4,16.6,3.5,8.6,,True
336,Acetylacetone,Acetylacetone,123-54-6,16.1,10,6.2,,True
337,Acetylbromide,Acetyl bromide,506-96-7,16.7,10.6,5.2,,False
338,Acetylchloride,Acetyl chloride,75-36-5,16.2,11.2,5.8,,False
339,Acetylene (Ethyne),Acetylene (Ethyne),74-86-2,14.4,4.2,11.9,,False
340,Acetylfluoride,Acetyl fluoride,557-99-3,14.7,14,5.7,,False
341,Acridine,Acridine,260-94-6,20,5.9,2,,False
342,Acrolein,Acrolein,0107-02-08,15.5,10,8.6,,True
343,Acrylamide,Acrylamide,1979-06-01,15.8,12.1,12.8,,False
344,Acrylic Acid,Acrylic acid,1979-10-07,16.6,6.4,10,,True
345,Acrylonitrile,Acrylonitrile,107-13-1,16,12.8,6.8,,False
346,Acrylylchloride,Acryloyl chloride,814-68-6,16.2,11.6,5.4,,False
347,Adenine,Adenine,73-24-5,20,16,14.9,,False
348,"Adipic Acid (1,6-Hexanedioic)",Adipic acid,0124-04-09,17.1,10,16.3,,True
349,Adonitol,Adonitol,488-81-3,18,12,36,,True
350,Adrenalin,Adrenaline,51-43-4,20.5,8.7,19.9,,False
351,Allyl Acetate,Allyl acetate,591-87-7,15.7,4.5,8,,True
352,Allyl Acetic Acid,Allylacetic acid,591-80-0,16.7,4.7,11.3,,True
353,Allyl Acetoacetate,Allyl acetoacetate,1118-84-9,15.9,6.9,8.6,,True
354,Allyl Alcohol,Allyl alcohol,107-18-6,16.2,10.8,16.8,,True
355,Allyl Amine,Allylamine,0107-11-09,15.5,5.7,10.6,,False
356,Allyl Bromide (3-Bromoprene),Allyl bromide,106-95-6,16.5,7.3,4.9,,False
357,Allyl Chloride,Allyl chloride,0107-05-01,17,6.2,2.3,,False
358,Allyl Cyanide,Allyl cyanide,109-75-1,16,14.3,5.6,,False
359,Allyl Ethylether,Allyl ethyl ether,557-31-3,15,4.8,5.1,,True
360,Allyl Fluoride,Allyl fluoride,818-92-8,14.9,6.4,1,,False
361,Allyl Formate,Allyl formate,1838-59-1,15.7,5.4,8.8,,True
362,Allyl Iodide,Allyl iodide,556-56-9,18.3,6.4,3.3,,False
363,Allyl Isocyanide,Allyl isocyanide,2835-21-4,16.1,13,5.4,,False
364,Allyl Isopropyl Ether,Allyl isopropyl ether,6140-80-3,15,4.1,7.1,,True
365,Allyl Isothiocyanate,Allyl isothiocyanate,1957-06-07,17,11.3,8.5,,False
366,Allyl Mercaptan,Allyl mercaptan,870-23-5,16.4,6.2,7.9,,False
367,Allyl Methacrylate,Allyl methacrylate,1996-05-09,15.2,4.1,7.5,,True
368,Allyl Methyl Ether,Allyl methyl ether,627-40-7,15,4.3,5.9,,True
369,Allylacetonitrile (4-Pentenenitrile),Allylacetonitrile,592-51-8,16.3,11.2,5,,False
370,"Alpha,Alpha,A-Trifluoro Toluene","α,α,α-Trifluorotoluene",1998-08-08,17.5,8.8,0,,False
371,Ammonia,Ammonia,7664-41-7,13.7,16.7,18.8,,False
372,Amphetamine,Amphetamine,300-62-9,17.5,4.3,6.3,,False
373,Amyl Acetate,Amyl acetate,628-63-7,15.8,3.3,6.1,,True
374,Anethole (Trans),trans-Anethole,104-46-1,18.5,4.3,6,,True
375,Aniline,Aniline,62-53-3,20.1,5.8,11.2,,False
376,Anisaldehyde (2-Methoxy Benzaldehyde),Anisaldehyde,0135-02-04,19.4,11.9,8.3,,True
377,Anisidine (2-Methoxyaniline),o-Anisidine,90-04-0,19.5,5.4,11.4,,False
378,Anisole,Anisole,100-66-3,17.8,4.4,6.9,,True
379,Ascorbic Acid,Ascorbic acid,50-81-7,18,11.7,25.5,,True
380,Azidoethane,Azidoethane,871-31-8,15.9,8.9,12.9,,False
381,"Benzal Chloride (Alpha,A-Dichlorobenzene)",Benzal chloride,98-87-3,19,7.6,2.4,,False
382,Benzaldehyde,Benzaldehyde,100-52-7,19.4,7.4,5.3,,True
383,Benzamide,Benzamide,55-21-0,21.2,14.7,11.2,,False
384,Benzene,Benzene,71-43-2,18.4,0,2,,False
385,Benzimidazole,Benzimidazole,51-17-2,20.6,14.9,11,,False
386,Benzisoxazole,Benzisoxazole,271-58-9,20.6,11.5,8.8,,False
387,Benzoic Acid,Benzoic acid,65-85-0,20,6.9,10.8,,True
388,Benzoin,Benzoin,119-53-9,19.9,9.7,10.7,,True
389,Benzonitrile,Benzonitrile,100-47-0,18.8,12,3.3,,False
390,Benzophenone,Benzophenone,119-61-9,19.5,7.2,5.1,,True
391,Benzothiazole,Benzothiazole,95-16-9,20.6,5.2,8.4,,False
392,Benzotrichloride,Benzotrichloride,1998-07-07,19.4,3.2,3.2,,False
393,Benzoyl Chloride,Benzoyl chloride,98-88-4,19.3,6.8,4.5,,False
394,Benzyl Acetate,Benzyl acetate,0140-11-04,18.3,5.7,6,,True
395,Benzyl Alcohol,Benzyl alcohol,100-51-6,18.4,6.3,13.7,,True
396,Benzyl Amine,Benzylamine,100-46-9,19,4.6,9.4,,False
397,Benzyl Benzoate,Benzyl benzoate,120-51-4,20,5.1,5.2,,True
398,Benzyl Butyl Phthalate,Benzyl butyl phthalate(BBP),85-68-7,19,11.2,3.1,,True
399,Benzyl Chloride,Benzyl chloride,100-44-7,18.8,7.1,2.6,,False
400,Benzyl Ethyl Ether,Benzyl ethyl ether,539-30-0,18.4,3.8,3.8,,True
401,Benzyl Methacrylate,Benzyl methacrylate,2495-37-6,16.8,4.1,4.1,,True
402,Bicyclohexyl,Bicyclohexyl,92-51-3,17,0,0,,False
403,Biphenyl,Biphenyl,92-52-4,19.7,1,2,,False
404,Bis(Chloromethyl)Ether,Bis(chloromethyl) ether,542-88-1,17.2,8.2,7.6,,False
405,Bis-(M-Phenoxyphenyl) Ether,Bis(m-phenoxyphenyl) ether,748-30-1,19.6,3.1,5.1,,True
406,Bisphenol A,Bisphenol A,1980-05-07,19.2,5.9,13.8,,True
407,Bisphenol-S,Bisphenol S,1980-09-01,20,14.6,16.3,,False
408,Biuret,Biuret,108-19-0,20,14.6,18.8,,False
409,Borine Carbonyl,Borine carbonyl,13205-44-2,17,10.2,6.9,,False
410,Boron Trichloride,Boron trichloride,10294-34-5,16.6,2.5,0,,False
411,Bromine,Bromine,7726-95-6,18.2,14.9,0,,False
412,Bromoacetylene,Bromoacetylene,593-61-3,15.7,9.9,5.6,,False
413,Bromobenzene,Bromobenzene,108-86-1,19.2,5.5,4.1,,False
414,Bromochloromethane,Bromochloromethane,74-97-5,17.3,5.7,3.5,,False
415,Bromoethylene,Bromoethylene,593-60-2,15.9,6.3,5.4,,False
416,Bromoform,Bromoform,75-25-2,20,5,7,,False
417,Bromomethyl Methyl Ether,Bromomethyl methyl ether,13057-17-5,16.9,8.5,7,,False
418,Bromoprene,Bromoprene,1822-86-2,16.9,6.4,4.7,,False
419,Bromotrichloro Methane #1,Bromotrichloromethane #1,75-62-7,18.3,0.8,0,,False
420,Bromotrichloro Methane #2-Gc,Bromotrichloromethane #2-GC,75-62-7,18.3,8.1,6,,False
421,Bromotrichloro Methane #3,Bromotrichloromethane #3,75-62-7,18.3,8.1,0,,False
422,Bromotrifluoromethane (Freon 1381),Bromotrifluoromethane (Freon 1381),75-63-8,14.3,2.4,0,,False
423,Butadiene-4-Cyano,Butadiene-4-carbonitrile,1615-70-9,16.2,11.7,5.2,,False
424,Butadienedioxide,Butadiene dioxide,1464-53-5,18.3,14.4,6.2,,True
425,Butadione,Butanedione,0431-03-08,15.7,5.1,6.8,,True
426,Butane,Butane,106-97-8,14.1,0,0,,False
427,Butoxy Ethoxy Propanol,Butoxyethoxypropanol,39332-55-3,15.5,6.5,10.2,,True
428,Butyl Benzoate,Butyl benzoate,136-60-7,18.3,5.6,5.5,,True
429,Butyl Formate,Butyl formate,592-84-7,15.7,6.5,9.2,,True
430,Butyl Isopropenyl Ether,Butyl isopropenyl ether,22022-33-9,14.8,5.3,5,,True
431,Butyl Lactate,Butyl lactate,138-22-7,15.8,6.5,10.2,,True
432,Butyl Oleate,Butyl oleate,142-77-8,16.3,3.7,4.2,,True
433,Butyl Stearate,Butyl stearate,123-95-5,14.5,3.7,3.5,,True
434,Butyl-6-Methyl-3-Cyclohexene Carboxylate,Butyl-6-methyl-3-cyclohexenecarboxylate,,16.1,2.5,5.7,,True
435,Butyleneoxide,Butylene oxide,106-88-7,16.3,6.2,5.9,,True
436,Butyraldehyde,Butyraldehyde,123-72-8,15.6,10.1,6.2,,True
437,Butyric Acid,Butyric acid,107-92-6,15.7,4.8,12,,True
438,Butyric Anhydride,Butyric anhydride,106-31-0,15.8,10.3,4.5,,True
439,Butyronitrile,Butyronitrile,109-74-0,15.3,12.4,5.1,,False
440,Butyrylchloride,Butyryl chloride,141-75-3,16.8,9.4,4.8,,False
441,Caffeine,Caffeine,1958-08-02,19.5,10.1,13,,False
442,Camphene,Camphene,79-92-5,16.4,1.8,3.1,,True
443,Caprolactone (Epsilon),ε-Caprolactone,502-44-3,18,15,7.4,,True
444,Carbazole (Diphenylenimine),Carbazole,86-74-8,21.7,6.4,6.2,,False
445,Carbon Dioxide (Fit = 1.0),Carbon dioxide,124-38-9,15.7,6.3,5.7,,True
446,Carbon Disulfide (0 Dipole Moment),Carbon disulfide,75-15-0,20.2,0,0.6,,False
447,Carbon Disulfide (P By Group Cont.),Carbon disulfide (P by group cont.),75-15-0,19.9,5.8,0.6,,False
448,Carbon Tetrachloride (0 Dipole Moment),Carbon tetrachloride,56-23-5,17.8,0,0.6,,False
449,Carbon Tetrachloride (P By Group Cont.),Carbon tetrachloride (P by group cont.),56-23-5,16.1,8.3,0,,False
450,Carbonyl Cyanide,Carbonyl cyanide,922-64-5,15,6.3,8,,False
451,Carbonyl Sulfide,Carbonyl sulfide,463-58-1,17.4,3.7,0,,False
452,Castor Oil,Castor oil,8001-79-4,15.9,4.6,12,,True
453,Cetyl Alcohol (1-Hexadecanol),Cetyl alcohol,36653-82-4,16.4,3.7,8.1,,True
454,Chloral,Chloral,75-87-6,17.2,7.4,7.6,,False
455,Chlorine,Chlorine,7782-50-5,17.3,10,0,,False
456,Chloro Acetaldehyde,Chloroacetaldehyde,107-20-0,16.2,14,9,,False
457,Chloro Acetic Acid,Chloroacetic acid,1979-11-08,17.7,10.4,12.3,,False
458,Chloro Maleic Anhydride,Chloromaleic anhydride,1996-02-06,20.4,17.3,11.5,,False
459,Chloroacetone,Chloroacetone,78-95-5,16.8,9.6,5.5,,False
460,Chloroacetonitrile,Chloroacetonitrile,107-14-2,17.4,13.6,2,,False
461,Chloroacetylchloride,Chloroacetyl chloride,1979-04-09,17.5,9.2,5.5,,False
462,Chloroacetylene,Chloroacetylene,593-63-5,16.2,2.1,2.5,,False
463,Chlorobenzene,Chlorobenzene,108-90-7,19,4.3,2,,False
464,Chlorocyclopropane,Chlorocyclopropane,7393-45-5,17.6,7.2,2.2,,False
465,Chlorodifluoromethane (Freon 22),Chlorodifluoromethane (Freon 22),75-45-6,12.3,6.3,5.7,,False
466,Chloroform,Chloroform,67-66-3,17.8,3.1,5.7,,False
467,Chloromethylsulfide,Chloromethyl sulfide,3592-44-7,16.6,6.4,2,,False
468,Chloronitromethane,Chloronitromethane,1794-84-9,17.4,13.5,5.5,,False
469,Chloropicrin (Trichloronitromethane),Chloropicrin,1976-06-02,17.6,6.8,7,,False
470,Chloroprene,Chloroprene,126-99-8,16.1,5.4,2.1,,False
471,Chlorotrifluoroethylene (Ctfe),Chlorotrifluoroethylene,79-38-9,15.3,6.3,0,,False
472,Cinnamyl Alcohol,Cinnamyl alcohol,104-54-1,19.1,6,13,,True
473,Cis-Cinnamic Acid,cis-Cinnamic acid,102-94-3,19.1,3.9,10.6,,True
474,Cis-Decahydronaphthalene,cis-Decahydronaphthalene,0493-01-06,17.6,0,0,,False
475,Citraconic Anhydride,Citraconic anhydride,0616-02-04,19.2,17,11.2,,True
476,Coniferyl Alcohol,Coniferyl alcohol,458-35-5,19,7,16.3,,True
477,Coumarin,Coumarin,91-64-5,20,12.5,6.7,,True
478,Crotonaldehyde,Crotonaldehyde,123-73-9,16.2,14.9,7.4,,True
479,Crotonic Acid,Crotonic acid,107-93-7,16.8,8.7,12,,True
480,Crotonlactone,Crotonolactone,497-23-4,19,19.8,9.6,,True
481,Cyanamid (Carbamonitrile),Cyanamide,0420-04-02,15.5,27.6,16.8,,False
482,Cyanogen,Cyanogen,460-19-5,15.1,11.8,0,,False
483,Cyanogen Bromide,Cyanogen bromide,506-68-3,18.3,15.2,0,,False
484,Cyanogen Chloride,Cyanogen chloride,506-77-4,15.6,14.5,0,,False
485,Cyclobutanone,Cyclobutanone,1191-95-3,18.3,11.4,5.2,,True
486,Cyclodecanone,Cyclodecanone,1502-06-03,16.8,8,4.1,,True
487,Cyclododecane,Cyclododecane,294-62-2,16.4,0,0,,False
488,Cycloheptane,Cycloheptane,291-64-5,17.1,1.4,1.9,,False
489,Cycloheptanone,Cycloheptanone,502-42-1,17.2,10.6,4.8,,True
490,Cyclohexane,Cyclohexane,110-82-7,16.8,0,0.2,,False
491,"Cyclohexane-1,2-Dicarboxylic Acid Di-Isononyl Ether","Cyclohexane-1,2-dicarboxylic acid di-isononyl ether",,16.4,2.2,5,,True
492,Cyclohexanol,Cyclohexanol,108-93-0,17.4,4.1,13.5,,True
493,Cyclohexanone,Cyclohexanone,108-94-1,17.8,8.4,5.1,,True
494,Cyclohexene,Cyclohexene,110-83-8,17.2,1,2,,False
495,Cycloheximide,Cycloheximide,66-81-9,18.3,11,13.8,,False
496,Cyclohexyl Benzene,Cyclohexylbenzene,827-52-1,18.7,0,1,,False
497,Cyclohexylamine,Cyclohexylamine,108-91-8,17.2,3.1,6.5,,False
498,Cyclohexylchloride,Cyclohexyl chloride,542-18-7,17.3,5.5,2,,False
499,Cyclooctanone,Cyclooctanone,502-49-8,17,9.6,4.5,,True
500,Cyclopentadiene,Cyclopentadiene,542-92-7,17,1.9,2,,False
501,Cyclopentane,Cyclopentane,287-92-3,16.4,0,1.8,,False
502,Cyclopentanone,Cyclopentanone,120-92-3,17.9,11.9,5.2,,True
503,Cyclopentene,Cyclopentene,142-29-0,16.7,3.8,1.7,,False
504,Cyclopentyl Methyl Ether (Cpme),Cyclopentyl methyl ether (CPME),5614-37-9,16.7,4.3,4.3,,True
505,Cyclopropane,Cyclopropane,75-19-4,17.3,0,0,,False
506,Cyclopropene,Cyclopropene,2781-85-3,17.2,2.4,2,,False
507,Cyclopropylmethylketone,Cyclopropyl methyl ketone,765-43-5,17,11.1,4.6,,True
508,Cyclopropylnitrile,Cyclopropylnitrile,5500-21-0,18.6,16.2,5.7,,False
509,d-Camphor,d-Camphor,464-49-3,17.8,10.3,5.2,,True
510,d-Limonene,d-Limonene,5989-27-5,17.2,1.8,4.3,,True
511,DDT,DDT,50-29-3,20,5.5,3.1,,False
512,Decamethylcyclopentasiloxane,Decamethylcyclopentasiloxane,0541-02-06,12.9,1.3,1,,False
513,Decane,Decane,124-18-5,15.7,0,0,,False
514,Di Butyl Fumarate,Dibutyl fumarate,105-75-9,16.7,3,6.7,,True
515,Di p-Tolyl Sulfoxide,Di-p-tolyl sulfoxide,1774-35-2,20.3,11.4,3.1,,False
516,Di-(2-Chloro-Isopropyl) Ether,Di-(2-chloro-isopropyl) ether,108-60-1,19,8.2,5.1,,False
517,Di-(2-Chloroethoxy) Methane,Di-(2-chloroethoxy) methane,111-91-1,17.1,10.2,7.1,,False
518,Di-(2-Chloroethyl) Ether,Di-(2-chloroethyl) ether,111-44-4,18.8,9,5.7,,False
519,Di-(2-Ethyl Hexyl) Sebacate,Di-(2-ethylhexyl) sebacate(DOS),122-62-3,16.2,5,9,256,True
520,Di-(2-Ethylhexyl)Azelate,Di-(2-ethylhexyl) azelate,103-24-2,16.2,4.7,8.4,,True
521,Di-(2-Methoxyethyl) Ether,Di-(2-methoxyethyl) ether,111-96-6,15.7,6.1,6.5,,True
522,Di-2-Ethylhexyl Amine,Di-2-ethylhexylamine,106-20-7,15.6,0.8,3.2,,False
523,Di-2-Ethylhexyl Ether,Di-2-ethylhexyl ether,10143-60-9,15.9,2.6,2.5,,True
524,Di-Isobutyl Carbinol,Diisobutyl carbinol,108-82-7,14.9,3.1,10.8,,True
525,Di-Isobutyl Ketone,Diisobutyl ketone,108-83-8,16,3.7,4.1,,True
526,Di-Isobutyl Sulfoxide,Diisobutyl sulfoxide,3085-40-3,16.3,10.5,6.1,,False
527,Di-Isodecyl Phthalate,Diisodecyl phthalate(DIDP),26761-40-0,16.6,6.2,2.6,420,True
528,Di-Isoheptyl Phthalate,Diisoheptyl phthalate(DIHP),71888-89-6,16.8,7.2,3.4,,True
529,Di-Isononyl Adipate,Diisononyl adipate(DINA),33703-08-1,16.7,1.8,4.9,,True
530,Di-Isononyl Phthalate,Diisononyl phthalate(DINP),28553-12-0,16.6,6.6,2.9,,True
531,Di-Isopropyl Methyl Phosphonate,Diisopropyl methylphosphonate,1445-75-6,16.4,10,5.7,,False
532,Di-Isopropyl Phosphonofluoridate,Diisopropyl phosphonofluoridate,55-91-4,15.7,10.2,5.9,,False
533,Di-Isopropyl Sulfoxide,Diisopropyl sulfoxide,2211-89-4,17,11.5,7.4,,False
534,Di-n-Butyl Ether,Di-n-butyl ether,142-96-1,15.2,3.4,3.2,,True
535,Di-n-Butyl Sulfoxide,Di-n-butyl sulfoxide,2168-93-6,16.4,10.5,6.1,,False
536,Di-n-Pentyl Ether,Di-n-pentyl ether,693-65-2,15.6,3.1,3,,True
537,Di-n-Propyl Ether,Di-n-propyl ether,111-43-3,15.1,3.2,3.2,,True
538,Di-n-Propyl Sulfoxide,Di-n-propyl sulfoxide,4253-91-2,17,13,7.4,,False
539,Di-sec-Butyl Ether,Di-sec-butyl ether,6863-58-7,15.2,3.5,3.3,,True
540,Diacetone Alcohol,Diacetone alcohol,123-42-2,15.8,8.2,10.8,,True
541,Diallyl Amine,Diallylamine,0124-02-07,15.6,4.5,6.7,,False
542,Diallyl Ether,Diallyl ether,557-40-4,15.3,4.4,5.3,,True
543,Diazomethane,Diazomethane,334-88-3,14.7,6.1,11.3,,False
544,Dibasic Esters (DBE),Dibasic esters (DBE),95481-62- 2,16.2,6.5,8.4,,True
545,Dibenzyl Ether,Dibenzyl ether,103-50-4,19.6,3.4,5.2,,True
546,Dibenzyl Sebacate,Dibenzyl sebacate(DBzS),140-24-9,17.8,2.2,5.5,257,True
547,Dibromomethane (Methylene Dibromide),Dibromomethane,74-95-3,19,6.4,7,,False
548,Dibutyl Amine,Dibutylamine,111-92-2,15,3,4.3,,False
549,Dibutyl Ketone,Dibutyl ketone,502-56-7,16,7.7,4.4,,True
550,Dibutyl Maleate,Dibutyl maleate,105-76-0,16.5,6.1,7.2,,True
551,Dibutyl Phthalate,Dibutyl phthalate(DBP),84-74-2,17.8,8.6,4.1,340,True
552,Dibutyl Sebacate,Dibutyl sebacate(DBS),109-43-3,16.7,4.5,4.1,344.5,True
553,Dichloroacetaldehyde,Dichloroacetaldehyde,1979-02-07,16.7,9.1,7.5,,False
554,Dichloroacetic Acid,Dichloroacetic acid,79-43-6,18.2,8.1,12.2,,False
555,Dichloroacetonitrile,Dichloroacetonitrile,3018-12-0,17.4,9.4,6.4,,False
556,Dichlorodifluoromethane (Freon 12),Dichlorodifluoromethane (Freon 12),75-71-8,14.9,2,0,,False
557,Dichloroethylene (Trans),trans-Dichloroethylene,156-60-5,16.7,7.8,3.3,,False
558,Dichloromethyl Methyl Ether,Dichloromethyl methyl ether,4885-02-03,17.1,12.9,6.5,,False
559,Dichloromonofluoromethane (Freon21),Dichlorofluoromethane (Freon 21),75-43-4,15.8,3.1,5.7,,False
560,Diethanolamine,Diethanolamine,111-42-2,17.2,7,19,,True
561,Diethyl Adipate,Diethyl adipate(DEA),141-28-6,16.4,6.2,7.5,251,True
562,Diethyl Amine,Diethylamine,109-89-7,14.9,2.3,6.1,,False
563,Diethyl Carbonate,Diethyl carbonate,105-58-8,15.1,6.3,3.5,,True
564,Diethyl Ether,Diethyl ether,60-29-7,14.5,2.9,4.6,,True
565,Diethyl Glutarate,Diethyl glutarate,818-38-2,16.3,7,7.8,,True
566,Diethyl Ketone,Diethyl ketone,96-22-0,15.8,7.6,4.7,,True
567,Diethyl Malonate,Diethyl malonate,105-53-3,16.1,7.7,8.3,,True
568,Diethyl Oxalate,Diethyl oxalate,95-92-1,16.2,8,8.8,,True
569,Diethyl Phthalate,Diethyl phthalate(DEP),84-66-2,17.6,9.6,4.5,295,True
570,Diethyl Succinate,Diethyl succinate,123-25-1,16.2,6.8,8.7,,True
571,Diethyl Sulfate,Diethyl sulfate,64-67-5,15.7,12.7,5.1,,False
572,Diethyl Sulfide,Diethyl sulfide,352-93-2,16.8,3.1,2,,False
573,Diethyldisulfide,Diethyl disulfide,110-81-6,17,6.7,5.7,,False
574,Diethylene Glycol,Diethylene glycol,111-46-6,16.6,12,19,,True
575,Diethylene Glycol Butyl Ether Acetate,Diethylene glycol butyl ether acetate,124-17-4,16,4.1,8.2,,True
576,Diethylene Glycol Dibutyl Ether,Diethylene glycol dibutyl ether,112-73-2,15.8,4.7,4.4,,True
