No,old_name,Solvent,CAS,dD,dP,dH,Tb,CHO
59,"1,3-Butanediol","1,3-Butanediol",107-88-0,16.5,8.1,20.9,,True
60,"1,3-Dichloro Propane","1,3-Dichloropropane",142-28-9,18,8.2,3,,False
61,"1,3-Dichloro-2-Butene","1,3-Dichloro-2-butene",926-57-8,16.9,7.8,2.7,,False
62,"1,3-Dichloro-2-Fluorobenzene","1,3-Dichloro-2-fluorobenzene",2268-05-05,19.4,9.1,2.7,,False
63,"1,3-Dichloro-2-Propanol","1,3-Dichloro-2-propanol",96-23-1,17.5,9.9,14.6,,False
64,"1,3-Dimethoxy Butane","1,3-Dimethoxybutane",10143-66-5,15.6,5.5,5.2,,True
65,"1,3-Dioxolane","1,3-Dioxolane",646-06-0,18.1,6.6,9.3,,True
66,"1,3-Pentadiene (Trans)","trans-1,3-Pentadiene",2004-70-8,15,2.5,4,,False
67,"1,3-Propane Sultone","1,3-Propane sultone",1120-71-4,18.4,16,9,,False
68,"1,3-Propanediol (Trimethyleneglycol)","1,3-Propanediol (Trimethyleneglycol)",504-63-2,16.8,13.5,23.2,,True
69,"1,4-Butandiol Diacrylate","1,4-Butanediol diacrylate",1070-70-8,16.8,9.1,4.2,,True
70,"1,4-Butanediol","1,4-Butanediol",110-63-4,16.6,11,20.9,,True
71,"1,4-Dichloro-2-Butene","1,4-Dichloro-2-butene",764-41-0,17.8,7.6,2,,False
72,"1,4-Dichlorobutane","1,4-Dichlorobutane",110-56-5,18.3,7.7,2.8,,False
73,"1,4-Dihydroxybenzene (1,4-Benzenediol)","1,4-Dihydroxybenzene (Hydroquinone)",123-31-9,21,10.2,27.2,,True
74,"1,4-Dioxane","1,4-Dioxane",123-91-1,17.5,1.8,9,,True
75,"1,4-Dioxane (High P)","1,4-Dioxane (High Purity)",123-91-1,17.1,6.8,7.8,,True
76,"1,4-Thioxane","1,4-Thioxane",15980-15-1,19,6.6,7.7,,False
77,"1,5-Dichloropentane","1,5-Dichloropentane",628-76-2,18,7.8,1.5,,False
78,"1,8-Cineole (Eucalyptol)","1,8-Cineole (Eucalyptol)",470-82-6,16.7,4.6,3.4,,True
79,"1,9-Nonanediol","1,9-Nonanediol",3937-56-2,15.7,7,15.1,,True
80,"1-Acetoxy-1,3-Butadiene","1-Acetoxy-1,3-butadiene",1515-76-0,16.1,4.4,8.3,,True
81,1-Aminocyclopropane Carboxylic Acid,1-Aminocyclopropanecarboxylic acid,22059-21-8,17,6.3,13.6,,False
82,1-Bromo Propene (Cis),cis-1-Bromopropene,590-13-6,16.3,6.4,5,,False
83,1-Bromo-4-Ethoxy Benzene,1-Bromo-4-ethoxybenzene,588-96-5,19.5,7.7,5.3,,False
84,1-Bromonaphthalene,1-Bromonaphthalene,1990-11-09,20.6,3.1,4.1,,False
85,1-Bromopropane,1-Bromopropane,106-94-5,16.4,7.9,4.8,,False
86,1-Butanethiol,1-Butanethiol,109-79-5,16.3,5.3,4.5,,False
87,1-Butanol,1-Butanol,71-36-3,16,5.7,15.8,,True
88,1-Butene,1-Butene,106-98-9,13.2,1.3,3.9,,False
89,1-Butenyl Methyl Ether,1-Butenyl methyl ether,4696-30-4,15.1,5.3,5.2,,True
90,1-Chloro Pentane,1-Chloropentane,543-59-9,16,6.9,1.9,,False
91,1-Chloro Vinyl Ethyl Ether,1-Chlorovinyl ethyl ether,54722-81-5,16.8,6.5,5.7,,False
92,1-Chloro-1-Fluoro Ethylene,1-Chloro-1-fluoroethylene,2317-91-1,16,6.9,4,,False
93,1-Chloro-1-Nitroethane,1-Chloro-1-nitroethane,598-92-5,16.8,13.5,4.7,,False
94,1-Chloro-1-Nitropropane,1-Chloro-1-nitropropane,600-25-9,16.8,13,4.5,,False
95,1-Chloro-2-Butene,1-Chloro-2-butene,591-97-9,16.2,7.7,2,,False
96,1-Chloro-2-Ethoxy Benzene,1-Chloro-2-ethoxybenzene,614-72-2,19.2,8.1,4.4,,False
97,1-Chloro-2-Ethyl Benzene,1-Chloro-2-ethylbenzene,89-96-3,18.9,4.9,2.2,,False
98,1-Chloro-2-Methyl Propene,1-Chloro-2-methylpropene,513-37-1,16.1,7.1,4.2,,False
99,1-Chloro-4-Ethoxy Benzene,1-Chloro-4-ethoxybenzene,622-61-7,19.3,6.3,4.4,,False
100,1-Chlorobutane,1-Chlorobutane,109-69-3,16.2,5.5,2,,False
101,1-Chlorohexane,1-Chlorohexane,0544-10-05,16.1,6.2,1.7,,False
102,1-Chloronaphthalene,1-Chloronaphthalene,90-13-1,20.5,4.9,2.5,,False
103,1-Chloropropene,1-Chloropropene,590-21-6,15.3,6.9,2.2,,False
104,1-Decanol,1-Decanol,112-30-1,16,4.7,10.5,,True
105,1-Decene,1-Decene,0872-05-09,15.6,1,2.2,,False
106,1-Ethoxy Ethoxy-2-Propanol,1-Ethoxyethoxy-2-propanol,4043-59-8,15.4,6.3,6,,True
107,1-Ethyl Vinyl Ethyl Ether,1-Ethyl vinyl ethyl ether,1528-20-7,15.3,4.2,4.6,,True
108,1-Fluoro Acrylic Acid,1-Fluoroacrylic acid,430-99-9,16,8.7,13,,False
109,1-Fluoro Acrylonitrile,1-Fluoroacrylonitrile,430-49-9,14.1,15.4,5.7,,False
110,1-Heptanol,1-Heptanol,111-70-6,16,5.3,11.7,,True
111,1-Heptene,1-Heptene,592-76-7,15,1.1,2.6,,False
112,1-Hexanol,1-Hexanol,111-27-3,15.9,5.8,12.5,,True
113,1-Hexene,1-Hexene,592-41-6,14.7,1.1,3,,False
114,"1-Methoxy-1,3-Butadiene","1-Methoxy-1,3-butadiene",3036-66-6,15.5,8.3,5.4,,True
115,1-Methoxy-2-Nitrobenzene,1-Methoxy-2-nitrobenzene,91-23-6,19.6,12.7,5.5,,False
116,1-Methyl Cyclohexanol,1-Methylcyclohexanol,590-67-0,17.1,4,12,,True
117,1-Methyl Imidazole,1-Methylimidazole,616-47-7,19.7,15.6,11.2,,False
118,1-Methyl Naphthalene,1-Methylnaphthalene,90-12-0,19.7,0.8,4.7,,False
119,1-Methyl Vinyl Methyl Ether,1-Methyl vinyl methyl ether,116-11-0,14.8,4.2,5.6,,True
120,1-Naphthol,1-Naphthol,90-15-3,19.7,6.3,12.3,,True
121,1-Nitropropane,1-Nitropropane,0108-03-02,16.6,12.3,5.5,,False
122,1-Nonanol,1-Nonanol,0143-08-08,16,4.8,11,,True
123,1-Nonene,1-Nonene,0124-11-08,15.4,1,2.2,,False
124,1-Octanol,1-Octanol,111-87-5,16,5,11.2,,True
125,1-Octene,1-Octene,111-66-0,15.3,1,2.4,,False
126,1-Pentanol,1-Pentanol,71-41-0,15.9,5.9,13.9,,True
127,1-Pentene,1-Pentene,109-67-1,13.9,1.4,3.8,,False
128,1-Propanethiol,1-Propanethiol,0107-03-09,16.1,5.8,5.7,,False
129,1-Propanol,1-Propanol,71-23-8,16,6.8,17.4,,True
130,1-Tetradecene,1-Tetradecene,1120-36-1,16.1,0.5,1.9,,False
131,"2,2',5,5'-Tetrathiafulvalen","2,2',5,5'-Tetrathiafulvalene",31366-25-3,21,8.2,8.4,,False
132,"2,2,2-Trifluoro Ethanol","2,2,2-Trifluoroethanol",75-89-8,15.4,8.3,16.4,,False
133,"2,2,4-Trimethyl-1,3-Pentanediol Monoisobutyrate (Texanol)","2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate (Texanol)",25265-77-4,15.1,6.1,9.8,,True
134,"2,2,4-Trimethylpentane","2,2,4-Trimethylpentane",540-84-1,14.1,0,0,,False
135,"2,2,6,6-Tetrachlorocyclohexanone","2,2,6,6-Tetrachlorocyclohexanone",3776-30-5,19.5,14,6.3,,False
136,"2,2-Dimethyl-1-Propanol (Neopentyl Alc.)","2,2-Dimethyl-1-propanol (Neopentyl alcohol)",75-84-3,15.6,6.5,13.5,,True
137,"2,3,4-Trifluoro Nitrobenzene","2,3,4-Trifluoronitrobenzene",771-69-7,19.5,7.7,3.5,,False
138,"2,3-Benzofuran (Cumaron)","2,3-Benzofuran (Coumarone)",271-89-6,18.7,5.1,5.7,,True
139,"2,3-Butadiene-1-ol","2,3-Butadiene-1-ol",18913-31-0,16.2,6.6,16.8,,True
140,"2,3-Butylene Carbonate","2,3-Butylene carbonate",4437-70-1,18,16.8,3.1,,True
141,"2,3-Dibromoprene","2,3-Dibromoprene",34994-48-4,17.7,11.8,6.4,,False
142,"2,3-Dichloro-1,3-Butadiene","2,3-Dichloro-1,3-butadiene",1653-19-6,17.1,2.3,2.8,,False
143,"2,3-Dichloronitrobenzene","2,3-Dichloronitrobenzene",3209-22-1,19.7,12.6,4.4,,False
144,"2,3-Dichloropropanol","2,3-Dichloropropanol",616-23-9,17.5,9.2,14.6,,False
145,"2,3-Dichloropropene","2,3-Dichloropropene",78-88-6,16.2,7.8,3,,False
146,"2,4,5-Trichlorothiophenol","2,4,5-Trichlorothiophenol",3773-14-6,21,4.5,9.1,,False
147,"2,4,6-Tribromo Phenol","2,4,6-Tribromophenol",118-79-6,20.6,10.2,14.1,,False
148,"2,4,6-Trichloroanisol","2,4,6-Trichloroanisole",87-40-1,21,3.9,7,,False
