old_name,dD,dP,dH,Solvents,CHO
"4-(hydroxymethyl)-1,3-dioxolan-2-one",18,25.6,17.4,"4-(Hydroxymethyl)-1,3-dioxolan-2-one",TRUE
4-chlorotrifluoromethylbenzene,18,5.9,3.9,4-Chlorotrifluoromethylbenzene,FALSE
4-hydroxy-4-methylpentan-2-one,15.7,8.2,10.8,4-Hydroxy-4-methylpentan-2-one,TRUE
"4-methyl-2-oxo-1,3-dioxolane",20,18,4.1,"4-Methyl-2-oxo-1,3-dioxolane",TRUE
4-methyl-2-pentanol,15.3,3.3,12.3,4-Methyl-2-pentanol,TRUE
4-methyl-2-pentanone,15.3,6.1,4.1,4-Methyl-2-pentanone,TRUE
4-methyl-3-penten-2-one,16.3,7.2,6.2,4-Methyl-3-penten-2-one,TRUE
"4-oxa-2,6-heptandiol",15.9,20.3,18.5,"4-Oxa-2,6-heptandiol",TRUE
5-methyl-2-hexanone,16,5.7,4.1,5-Methyl-2-hexanone,TRUE
acetic acid,14.5,8,13.5,Acetic acid,TRUE
acetic anhydride,15.4,11.1,9.6,Acetic anhydride,TRUE
acetonitrile,15.4,18,6.1,Acetonitrile,FALSE
acetophenone,19.6,8.6,3.7,Acetophenone,TRUE
aniline,19.4,5.1,10,Aniline,FALSE
benzaldehyde,18.8,8.6,5.3,Benzaldehyde,TRUE
benzene,18.5,0,2,Benzene,TRUE
benzoic acid,18.2,7,9.8,Benzoic acid,TRUE
benzyl alcohol,18.5,6.3,13.7,Benzyl alcohol,TRUE
benzyl benzoate,20.1,5.1,5.1,Benzyl benzoate,TRUE
benzyl butyl phthalate,19.1,11.3,3.1,Benzyl butyl phthalate,TRUE
bis(2-chloroethyl) ether,18.9,9,3.1,Bis(2-chloroethyl) ether,FALSE
butane,14.1,0,0,Butane,TRUE
butanenitrile,15.4,12.5,5.1,Butanenitrile,FALSE
butanoic acid,15,4.1,10.7,Butanoic acid,TRUE
butanol,16,5.7,15.8,Butanol,TRUE
butyl acetate,15.8,3.7,6.3,Butyl acetate,TRUE
butyl benzoate,18.2,5.5,5.5,Butyl benzoate,TRUE
butyl lactate,15.7,6.6,10.3,Butyl lactate,TRUE
butyl propanoate,15.3,3.3,6.8,Butyl propanoate,TRUE
carbon disulfide,20.5,0,0.6,Carbon disulfide,FALSE
chlorobenzene,19,4.3,2.1,Chlorobenzene,FALSE
chlorocyclohexane,17.4,5.5,2.1,Chlorocyclohexane,FALSE
chloromethane,15.3,6.1,3.9,Chloromethane,FALSE
cis-decalin,18,0,0,cis-Decalin,TRUE
cyclohexanamine,17.4,3.1,6.6,Cyclohexanamine,FALSE
