Solvent,dD,dP,dH,CHO
SOLMIX A-7,15.7846666698204,8.78216466409342,19.3528214690588,True
SOLMIX A-11,15.7065186001172,9.23738483859023,19.7539221287579,True
SOLMIX AP-1,15.7923395746677,8.47321724419797,19.0260861784013,True
SOLMIX AP-7,15.8188871957851,8.47728999528257,19.0624191011863,True
SOLMIX H-11,15.6908471401237,9.60259777916665,20.9148815143161,True
SOLMIX HP-1,15.7771440574879,8.83379554994152,20.1812017857987,True
SOLMIX HP-7,15.8038116721856,8.83807003081916,20.2198740927768,True
