"Solvent","V (cm3/mol)","dD","dP","dH","dT","CHO"
"Anethole",150.00,19.00,4.30,8.70,21.33,True
"Diphenyl ether",160.40,19.60,3.20,5.80,20.69,True
"Chloromethane",55.40,15.30,6.10,3.90,16.93,False
"Dichloromethane",63.90,18.20,6.30,6.10,20.20,False
"Trichloromethane",80.70,17.80,3.10,5.70,18.95,False
"Tetrachloromethane",97.10,17.80,0.00,0.60,17.81,False
"1,1-Dichloroethane",84.73,16.50,7.80,3.00,18.50,False
"1,2-Dichloroethane",79.40,19.00,7.40,4.10,20.80,False
"1,1,1-Trichloroethane",99.30,16.80,4.30,2.00,17.46,False
"1,1,2-Trichloroethane",92.90,18.20,5.30,6.80,20.14,False
"1-Chloropropane",88.10,16.00,7.80,2.00,17.91,False
"2-Chloropropane",91.70,15.90,8.30,2.10,18.06,False
"1,3-Dichloropropane",95.10,18.60,8.20,3.00,20.55,False
"1,4-Dichlorobutane",109.50,18.30,7.70,2.80,20.05,False
"1,5-Dichloropentane",127.50,19.00,7.80,1.50,20.59,False
"1-Chlorobutane",104.50,16.20,5.50,2.00,17.22,False
"2-Chlorobutane",106.80,15.80,7.60,2.00,17.65,False
"1-Chloropentane",120.90,16.00,6.90,1.90,17.53,False
"3-Chloropropene",82.30,17.00,6.20,2.30,18.24,False
"Dibromomethane",69.80,17.80,6.40,7.00,20.17,False
"Tribromomethane",87.50,21.40,4.10,6.10,22.63,False
"Bromoethane",74.60,16.50,8.40,2.30,18.66,False
"1,1,2,2-Tetrabromoethane",117.00,22.60,5.10,8.20,24.58,False
"1-Bromopropane",90.90,16.40,7.90,4.80,18.83,False
"2-Bromopropane",93.60,16.10,8.30,4.70,18.71,False
"Iodomethane",62.30,17.50,7.70,5.30,19.84,False
"Iodoethane",81.20,17.30,7.90,7.20,20.34,False
"Diiodomethane",80.50,17.80,3.90,5.50,19.03,False
"Trichlorosilane",101.10,14.20,3.60,3.80,15.13,False
"1-Methylnaphthalene",139.00,20.60,0.80,4.70,21.14,True
"cis-Decahydronaphthalene",156.90,18.80,0.00,0.00,18.80,True
"1,2,3,4-Tetrahydronaphthalene",136.00,19.60,2.00,2.90,19.91,True
"1-Pentene",110.40,13.90,1.40,3.80,14.48,True
"2-Methyl-1-butene",108.70,14.20,1.80,2.30,14.50,True
"2-Methyl-2-butene",106.70,14.30,2.00,3.90,14.96,True
"3-Methyl-1-butene",112.90,14.00,1.40,3.80,14.57,True
"1-Hexene",126.10,14.70,1.10,0.00,14.74,True
"1-Heptene",141.90,15.00,1.10,2.60,15.26,True
"1-Octene",158.00,15.30,1.00,2.40,15.52,True
"1-Nonene",170.50,15.40,1.00,2.20,15.59,True
"1-Decene",190.60,15.80,1.00,2.20,15.98,True
"1-Tetradecene",253.40,16.10,0.50,1.90,16.22,True
"Cyclopentene",89.00,16.70,3.80,1.70,17.21,True
"Fluorobenzene",94.70,18.70,6.10,2.00,19.77,False
"Chlorobenzene",102.10,19.00,4.30,2.00,19.58,False
"4-Chlorotoluene",118.20,19.10,6.20,2.60,20.25,False
"Bromobenzene",105.30,20.50,5.50,4.10,21.62,False
"Iodobenzene",112.00,19.50,6.00,6.10,21.29,False
"1,2-Dichlorobenzene",112.60,19.20,6.30,3.30,20.47,False
"1,3-Dichlorobenzene",114.80,19.70,5.10,2.70,20.53,False
"Benzene",89.40,18.40,0.00,2.00,18.51,True
"Toluene",106.80,18.00,1.40,2.00,18.16,True
"Ethylbenzene",123.00,17.80,0.60,1.40,17.87,True
"1,2-Dimethylbenzene",121.20,17.80,1.00,3.10,18.10,True
"1,3-Dimethylbenzene",123.44,17.40,1.00,3.10,17.70,True
"1,4-Dimethylbenzene",123.30,17.60,1.00,3.10,17.90,True
"1,2-Diethylbenzene",153.50,17.70,0.10,1.00,17.73,True
"1,4-Diethylbenzene",156.90,18.00,0.00,0.60,18.01,True
"Isopropylbenzene",139.10,18.10,1.20,1.20,18.18,True
"1,2,4-Trimethylbenzene",133.60,17.80,0.40,1.00,17.83,True
"1,3,5-Trimethylbenzene (mesitylene)",139.80,18.00,0.00,0.60,18.01,True
"1-Butylbenzene",157.00,17.40,0.10,1.10,17.44,True
"Styrene",115.60,18.60,1.00,4.10,19.07,True
"Methylal",88.80,15.00,1.80,8.60,17.38,True
"Nitromethane",54.30,15.80,18.80,5.10,25.08,False
"Nitroethane",71.50,16.00,15.50,4.50,22.73,False
"1-Nitropropane",88.40,16.60,12.30,5.50,21.38,False
"2-Nitropropane",86.90,16.20,12.10,4.10,20.63,False
"Ethylene glycol",55.80,17.00,11.00,26.00,32.95,True
"Diethylene glycol",94.90,16.60,12.00,20.70,29.12,True
"Triethylene glycol",114.00,16.00,12.50,18.60,27.54,True
"Trimethylene glycol",72.50,16.80,13.50,23.20,31.67,True
"Ethylene glycol monomethyl ether",79.10,16.20,9.20,16.40,24.82,True
"Ethylene glycol monoethyl ether",97.80,16.20,9.20,14.30,23.49,True
"Ethylene glycol monobutyl ether",131.60,16.00,5.10,12.30,20.82,True
"Diethylene glycol dimethyl ether",142.00,15.70,6.10,6.50,18.05,True
"Diethylene glycol diethyl ether",179.80,15.80,5.90,5.60,17.77,True
"Dichloroethyl ether",117.20,18.80,9.00,5.70,21.61,False
"1,4-Dioxane",85.70,19.00,1.80,7.40,20.47,True
"Water",18.00,15.50,16.00,42.30,47.81,True
"Acetonitrile",52.60,15.30,18.00,6.10,24.40,False
"Propionitrile",70.90,15.30,14.30,5.50,21.65,False
"Butyronitrile",87.30,15.30,12.40,5.10,20.34,False
"Valeronitrile",103.80,15.30,11.00,4.80,19.45,False
"Benzonitrile",103.00,17.40,9.00,3.30,19.87,False
"3-Butenenitrile",80.50,16.00,14.30,5.60,22.18,False
"Formamide",39.80,17.20,26.20,19.00,36.65,False
"Hydrazine",32.10,14.20,8.30,8.90,18.70,False
"Methylamine",44.40,13.00,7.30,17.30,22.84,False
"Ethylamine",65.60,15.00,5.60,10.70,19.26,False
"n-Propylamine",83.00,16.90,4.90,8.60,19.59,False
"n-Butylamine",99.00,16.20,4.50,8.00,18.62,False
"Dimethylamine",66.20,15.30,4.80,11.20,19.56,False
